GCA_000632755.1_PseOti1.0	2013
GCA_963426545.1_p62_s_C1.1	Unknown
GCA_963426555.1_t9_d1_E9.1	Unknown
GCA_963426565.1_t160_d1_G1.1	Unknown
GCA_963426575.1_t7_d1_F7.1	Unknown
GCA_963426585.1_t83_d1_C9.1	Unknown
GCA_963426595.1_p71_d1_H9.1	Unknown
GCA_963426605.1_t117_d1_E1.1	Unknown
GCA_963426615.1_t23_srt_G2.1	Unknown
GCA_963426625.1_t165_d1_E9.1	Unknown
GCA_963426635.1_t92_d1_C7.1	Unknown
GCA_963426645.1_t48_s_F2.1	Unknown
GCA_963426655.1_p38_d1_A12.1	Unknown
GCA_963426665.1_t39_s_A8.1	Unknown
GCA_963426685.1_p62_s_G5.1	Unknown
GCA_963426695.1_t106_d1_A10.1	Unknown
GCA_963426705.1_t6_s_H7.1	Unknown
GCA_963426715.1_t111_d1_C9.1	Unknown
GCA_963426735.1_p7_d1_E6.1	Unknown
GCA_963426745.1_t90_d1_H6.1	Unknown
GCA_963426755.1_p57_d1_A8.1	Unknown
GCA_963426765.1_t30_s_D10.1	Unknown
GCA_963426775.1_p80_d1_H11.1	Unknown
GCA_963426785.1_p74_d1_C8.1	Unknown
GCA_963426805.1_t90_d1_E3.1	Unknown
GCA_963426815.1_p43_d1_A8.1	Unknown
GCA_963426825.1_t158_s_A12.1	Unknown
GCA_963426835.1_t116_d1_G2.1	Unknown
GCA_963426865.1_t16_s_F4.1	Unknown
GCA_963426875.1_p46_d1_C11.1	Unknown
GCA_963426885.1_p43_d1_F3.1	Unknown
GCA_963426895.1_p9_s_B7.1	Unknown
GCA_963426905.1_p81_s_F5.1	Unknown
GCA_963426925.1_t68_d1_G2.1	Unknown
GCA_963426935.1_t3_d1_F9.1	Unknown
GCA_963426945.1_t69_d1_C2.1	Unknown
GCA_963426955.1_t172_s_F7.1	Unknown
GCA_963426965.1_t122_d1_D4.1	Unknown
GCA_963426975.1_t80_d1_C2.1	Unknown
GCA_963426985.1_p40_d1_D9.1	Unknown
GCA_963426995.1_t78_d1_C5.1	Unknown
