Strain,Mash,Defense_Systems,Prophages,Target_Proteins,Spacer_Hit_Prophages
GCA_000568235.2,1,CRISPR-Cas;Gabija;Kiwa;R-M;RloC;Wadjet;Zorya,P0025,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0019;P0021;P0033;P0034;P0037;P0038;P0039;P0042;P0043;P0045;P0046;P0047;P0048;P0049;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0074;P0081;P0083
GCA_001449435.1,1,CBASS;Lamassu-Fam;R-M,,AmpD;Gamp2,P0007;P0012;P0014;P0016;P0037;P0038;P0045;P0046;P0059;P0065;P0081
GCA_003632635.1,1,CRISPR-Cas;Gabija;R-M;RosmerTA;Septu,,AmpD;Gamp2,P0001;P0003;P0007;P0011;P0012;P0016;P0017;P0021;P0022;P0034;P0037;P0038;P0039;P0040;P0042;P0045;P0047;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083
GCA_003632675.2,1,CRISPR-Cas;DISARM;Hachiman;R-M;Retron,P0061,AmpD,P0001;P0003;P0007;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0033;P0034;P0037;P0038;P0039;P0040;P0041;P0043;P0046;P0047;P0048;P0049;P0052;P0053;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0072;P0081;P0083;P0084;P0087
GCA_003632705.1,1,CRISPR-Cas;DISARM;Hachiman;R-M;Retron,P0061,AmpD,P0001;P0003;P0007;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0033;P0034;P0037;P0038;P0039;P0040;P0041;P0043;P0046;P0047;P0048;P0049;P0052;P0053;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0072;P0081;P0083;P0084;P0087
GCA_003632725.1,1,CRISPR-Cas;DISARM;Hachiman;R-M;Retron,P0061,AmpD,P0001;P0003;P0007;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0033;P0034;P0037;P0038;P0039;P0040;P0041;P0043;P0046;P0047;P0048;P0049;P0052;P0053;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0072;P0081;P0083;P0084;P0087
GCA_003632755.1,1,CRISPR-Cas;DISARM;Hachiman;R-M;Retron,,AmpD,P0001;P0003;P0007;P0009;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0029;P0030;P0032;P0033;P0034;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0081;P0083;P0084
GCA_003633495.1,1,CRISPR-Cas;DISARM;Hachiman;R-M;Retron,P0061,AmpD,P0001;P0003;P0007;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0033;P0034;P0037;P0038;P0039;P0040;P0041;P0043;P0046;P0047;P0048;P0049;P0052;P0053;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0072;P0081;P0083;P0084;P0087
GCA_003833685.1,1,CRISPR-Cas;Gao_Iet;Lamassu-Fam;Menshen;R-M;RloC,P0029,AmpD,P0001;P0003;P0007;P0016;P0017;P0037;P0040;P0043;P0046;P0047;P0060;P0065
GCA_003835685.1,1,CRISPR-Cas;Lamassu-Fam;R-M;RloC;ShosTA,P0008;P0017;P0029,AmpD,P0001;P0003;P0017;P0037;P0040;P0043;P0047;P0060
