Prophage	Defense_System	System_Type	System_Subtype	Coverage
GCA_000792245.1_AZPAE14981/JTPN01000016.1_provirus_181950_224211	GCA_000792245.1_AZPAE14981_BstA_3	BstA	BstA	100.00%
GCA_023911775.1_ASM2391177v1/STKA01000079.1_provirus_1_5392	GCA_023911775.1_ASM2391177v1_RM_Type_IV_3	RM	RM_Type_IV	100.00%
GCA_963438725.1_t100_d1_A8.1/CAULVH010000003.1_provirus_28998_74477	GCA_963438725.1_t100_AbiU_1	AbiU	AbiU	100.00%
GCA_963431595.1_t100_d1_D4.1/CAUKUI010000018.1_provirus_68264_117675	GCA_963431595.1_t100_RM_Type_I_22	RM	RM_Type_I	100.00%
GCA_963431595.1_t100_d1_D4.1/CAUKUI010000018.1_provirus_68264_117675	GCA_963431595.1_t100_Septu_8	Septu	Septu	100.00%
GCA_963431595.1_t100_d1_D4.1/CAUKUI010000003.1_provirus_28998_74477	GCA_963431595.1_t100_AbiU_1	AbiU	AbiU	100.00%
GCA_016836545.1_237/JAFCHG010000001.1_provirus_4302798_4327406	GCA_016836545.1_237_Shedu_3	Shedu	Shedu	100.00%
GCA_016836545.1_237/JAFCHG010000001.1_provirus_3357733_3398421	GCA_016836545.1_237_PD-T7-4_12	PD-T7-4	PD-T7-4	100.00%
GCA_963435445.1_t168_s_C5.1/CAULIW010000013.1_provirus_1_33740	GCA_963435445.1_t168_RosmerTA_6	RosmerTA	RosmerTA	100.00%
GCA_023912705.1_ASM2391270v1/STIK01000075.1_provirus_9267_29581	GCA_023912705.1_ASM2391270v1_Gabija_1	Gabija	Gabija	100.00%
GCA_019857645.1_ASM1985764v1/CP078009.1_provirus_2370782_2442731	GCA_019857645.1_ASM1985764v1_RosmerTA_4	RosmerTA	RosmerTA	100.00%
GCA_963450245.1_t155_d1_B10.1/CAUNNE010000005.1_provirus_42495_96958	GCA_963450245.1_t155_BstA_1	BstA	BstA	100.00%
GCA_016055785.1_ASM1605578v1/JAECTS010000003.1_provirus_367209_379070	GCA_016055785.1_ASM1605578v1_PD-T7-4_6	PD-T7-4	PD-T7-4	100.00%
GCA_963443255.1_p56_s_H10.1/CAUMNO010000003.1_provirus_60223_106793	GCA_963443255.1_p56_PD-Lambda-5_5	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_963444075.1_t155_d1_C6.1/CAUMPJ010000012.1_provirus_42494_96957	GCA_963444075.1_t155_BstA_1	BstA	BstA	100.00%
GCA_031804255.1_PDT001823767.2/ABMTXT010000006.1_provirus_1_8878	GCA_031804255.1_PDT001823767.2_RM_Type_II_7	RM	RM_Type_II	100.00%
GCA_019281605.1_ASM1928160v1/JAHVNF010000030.1_provirus_53031_64742	GCA_019281605.1_ASM1928160v1_RM_Type_II_8	RM	RM_Type_II	61.39%
GCA_003835685.1_ASM383568v1/NSQX01000001.1_provirus_209642_254772	GCA_003835685.1_ASM383568v1_ShosTA_3	ShosTA	ShosTA	100.00%
GCA_000480375.1_Pseu_aeru_CF77_V1/KI518670.1_provirus_134619_189908	GCA_000480375.1_Pseu_BstA_1	BstA	BstA	100.00%
GCA_013434865.1_ASM1343486v1/JAAOGL010000002.1_provirus_233438_301569	GCA_013434865.1_ASM1343486v1_RosmerTA_6	RosmerTA	RosmerTA	58.80%
GCA_963438565.1_p4_d1_C8.1/CAULUL010000002.1_provirus_14656_67241	GCA_963438565.1_p4_RM_Type_I_8	RM	RM_Type_I	41.71%
GCA_963434785.1_p81_s_G4.1/CAULGL010000022.1_provirus_52533_64957	GCA_963434785.1_p81_RM_Type_IV_4	RM	RM_Type_IV	100.00%
GCA_019430685.1_ASM1943068v1/JAHYBQ010000022.1_provirus_90417_106851	GCA_019430685.1_ASM1943068v1_PD-T7-2_7	PD-T7-2	PD-T7-2	100.00%
GCA_017900915.1_ASM1790091v1/CP072783.1_provirus_5493601_5524403	GCA_017900915.1_ASM1790091v1_PrrC_10	PrrC	PrrC	100.00%
GCA_017900915.1_ASM1790091v1/CP072783.1_provirus_5493601_5524403	GCA_017900915.1_ASM1790091v1_ShosTA_4	ShosTA	ShosTA	100.00%
GCA_002312295.1_ASM231229v1/MWXZ01000006.1_provirus_161269_202934	GCA_002312295.1_ASM231229v1_PD-T7-4_7	PD-T7-4	PD-T7-4	100.00%
GCA_963429235.1_t168_s_G9.1/CAUKLD010000006.1_provirus_143430_180795	GCA_963429235.1_t168_RosmerTA_6	RosmerTA	RosmerTA	100.00%
GCA_031734375.1_ASM3173437v1/JASTYZ010000001.1_provirus_281753_320326	GCA_031734375.1_ASM3173437v1_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_009727425.1_ASM972742v1/WOAQ01000003.1_provirus_3_48412	GCA_009727425.1_ASM972742v1_BstA_1	BstA	BstA	100.00%
